Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,EMA_12_,EMA_26_,MACD_,MACD_Signal_,RSI_,Bollinger_Upper_,Bollinger_Lower_,FedFundsRate
2018-01-02,40.47983932495117,40.48924104050735,39.774861257800275,39.986356829367864,102223600,40.47983932495117,40.47983932495117,0.0,0.0,,,,1.41
2018-01-03,40.47279739379883,41.01798225540549,40.40935193760675,40.5432959308279,118071600,40.478755950927734,40.47931770042137,-0.0005617494936345224,-0.00011234989872690449,,,,1.41
2018-01-04,40.6607780456543,40.76417538562877,40.43753574472939,40.545630356009404,89738400,40.50675935011644,40.49275920747566,0.014000142640782087,0.002710148609174894,,,,1.41
2018-01-05,41.12371063232422,41.210656758807595,40.665475716704634,40.75712269982855,94640000,40.60167493199456,40.539496350057036,0.06217858193752335,0.014603835274844585,,,,1.41
2018-01-08,40.97098159790039,41.26707113013924,40.87228150144981,40.97098159790039,82271200,40.658491342133914,40.57145822026766,0.08703312186625567,0.029089692593126805,,,,1.41
2018-01-09,40.96627426147461,41.137817913571006,40.750081426545414,41.01797293783852,86336000,40.70584256049402,40.60070385294965,0.10513870754436994,0.04429949558337543,,,,1.41
2018-01-10,40.956871032714844,40.9592232542741,40.65373206496888,40.69133175288106,95839600,40.74446232545107,40.62708660700633,0.11737571844473393,0.05891474015564714,,,,1.41
2018-01-11,41.189517974853516,41.23886801693427,41.00387532945304,41.027372446778855,74670800,40.812932425359136,40.66874818980983,0.1441842355493037,0.07596863923437847,,,,1.41
2018-01-12,41.61484909057617,41.678298112455614,41.27645908815704,41.401004910477496,101672400,40.93630422000791,40.73882973801474,0.19747448199316864,0.1002698077861365,,,,1.41
2018-01-16,41.40336990356445,42.15534592662178,41.39161954985795,41.80520546611335,118263600,41.00816047901661,40.78805493546287,0.22010554355374268,0.12423695493965775,,,,1.41
2018-01-17,42.08718490600586,42.12243236910456,41.140164816586015,41.39395372230317,137547200,41.174164237014956,40.88428678513272,0.28987745188223357,0.15736505432817294,,,,1.41
2018-01-18,42.12479019165039,42.3221867851627,41.887448855050266,42.150639532127954,124773600,41.320414383881946,40.976175926356255,0.34423845752569093,0.19473973496767655,,,,1.41
2018-01-19,41.936798095703125,42.19998876773405,41.69005504782215,41.97204556581299,129700400,41.415242647239054,41.047333124085654,0.36790952315340064,0.22937369260482138,,,,1.41
2018-01-22,41.59371566772461,41.777009721098885,41.499720004452314,41.66421420803119,108434400,41.44270003500606,41.08780590509595,0.3548941299101145,0.25447778006588,68.90010252798807,,,1.41
2018-01-23,41.60309982299805,42.16708437027249,41.55140473555881,41.6642002107323,130756400,41.46737692546637,41.125975824940554,0.3414011005258146,0.2718624441578669,68.99882828428818,,,1.41
2018-01-24,40.940425872802734,41.66420377297994,40.70073233007495,41.65245342158767,204420400,41.38630753274889,41.11223138404146,0.27407614870742947,0.27230518506777945,56.47368721232105,,,1.41
2018-01-25,40.2096061706543,41.111977393216236,40.073309956980175,41.00858001831142,166116000,41.2052765539651,41.04537025712389,0.15990629684120705,0.249825407422465,44.57021551660815,,,1.41
2018-01-26,40.3036003112793,40.418748035489784,39.96286158277214,40.418748035489784,156572000,41.066557132013436,40.99042433520948,0.0761327968039538,0.21508688529876277,39.16820924052967,,,1.41
2018-01-29,39.4693717956543,39.98635497038947,39.26022845555082,39.98635497038947,202561600,40.82083631103511,40.877753776723914,-0.05691746568880518,0.1606860151012492,33.19280297854898,,,1.41
2018-01-30,39.23672866821289,39.33072430737297,38.703294272434796,38.89833863011055,184192800,40.57712744290861,40.756196361278654,-0.17906891837004224,0.09273502840699091,31.581371994618095,42.54629104067314,39.388140035376665,1.41
2018-01-31,39.344818115234375,39.5821629892802,39.126276669389796,39.21322280345226,129915600,40.38754139249719,40.65164982453464,-0.26410843203744605,0.021366336318103515,33.18601183134366,42.63790563483593,39.1830233202422,1.41
2018-02-01,39.42707443237305,39.624467437367045,39.187380877335194,39.28372874371465,188923200,40.239777244785785,40.560940536226376,-0.3211632914405911,-0.04713958923363541,31.02203513199555,42.700857628517205,39.01549903041835,1.42
2018-02-02,37.716331481933594,39.19678633201018,37.62233582840989,39.008791439258424,346375200,39.851554819731604,40.35022875442691,-0.4986739346953044,-0.13744645832596922,17.1222383719995,43.02917740249344,38.392734600070035,1.42
2018-02-05,36.77399826049805,38.51059366698159,36.65885058000265,37.38732917324544,290954000,39.378084579849514,40.08532279191366,-0.7072382120641478,-0.25140480907360496,15.243185033709679,43.39212650289908,37.59481426248178,1.42
2018-02-06,38.310855865478516,38.47300138641009,36.18887227786028,36.38391663016176,272975200,39.21389554686936,39.95388079736291,-0.7399852504935538,-0.3491208973575948,24.86704139818525,43.407203869206924,37.31372432293175,1.42
